CÓDIGO BIC,ID_REGAGE,MUNICIPIO,PROVINCIA,BIEN,DIRECCIÓN/LUGAR,X,Y,CATEGORÍA,FECHA DECLARACIÓN,FECHA DIARIO,FECHA BOLETÍN,HAY DATOS,ENTREGADO
,,Columna1,Columna7,Columna2,Columna8,Columna9,Columna10,Columna3,Columna12,Columna13,Columna14,,
,(R.I.) - 51 - 0000491 - 00000,ABADÍA,CÁCERES,Palacio Duques de Alba (La Abadía),"Calle Subida Castillo, 5 CP. 10748","247082,89","4460967,5",Monumento,,LA GACETA: 04-06-1931,,,
15462,(R.I.) - 52 - 0000005 - 00000,ABADÍA,CÁCERES,Jardín del Palacio de los Duques de Alba,"Calle Subida Castillo, 5 CP. 10748",247009,4461046,Monumento,,,GACETA DE MARDRID: 04-06-1931,,1
28163,,ABADÍA,CÁCERES,Convento de la Bien Parada,"DS Convento 169 Polígono 8, parcela 169 CP. 10748",245713,4460397,Monumento,"DECRETO 70/2012, de 27 abril",DOE: 04-05-2012,BOE:11-07-2012,,
30287,,ABADÍA,CÁCERES,El Palacio y los Jardines de los Duques de Alba,"Calle Subida Castillo, 5 CP. 10748",247009,4461046,Monumento," DECRETO 19/2022, de 2  marzo",DOE: 08-03-2022,BOE: 19-04-2022,,
2320,1260,ACEBO,CÁCERES,Iglesia de Ntra. Sra. De los Ángeles,"Plaza Mayor, 5 CP. 10857",183611,4456759,Monumento,"DECRETO 167/2017, de 17 octubre",DOE: 23-10-2017,BOE: 10-01-2018,,
3042,(R.I.) - 51 - 0000396 - 00000,ALANGE,BADAJOZ,Baños Romanos,"Calle Nueva, 1 CP. 06840",218244,4297907,Monumento,3-6-31,,GACETA DE MADRID: 04-06-1931,,
,(R.I.) - 51 – 0000293 – 00000,ALBURQUERQUE,BADAJOZ,Abrigos del  Risco de San Blas,,150646,4350079,Monumento,25-4-24,,GACETA DE MADRID: 07-05-1924,,
,(R.I.) - 51 – 00001079 – 00000,ALBURQUERQUE,BADAJOZ,Castillo y Restos de Fortificación (castillo de Luna),"calle Carcel, 1  CP. 06510",154393,4348584,Monumento,27-11-33,,GACETA DE MADRID: 07-12-1933,,
16052,R-I-53-0000459-00000,ALBURQUERQUE,BADAJOZ,Conjunto Histórico Artístico de la ciudad,"Calle de San Mateo, 1 CP. 06510",154454,4348637,Conjunto Histórico,"DECRETO 97/1998,  de 21 julio",,BOE: 04-11-1998,,
9884,R-I-51-0007109-00000,ALBURQUERQUE,BADAJOZ,Iglesia de Santa María del Mercado,"Travesía Santa María, 1 CP. 06510",154459,4348628,Monumento,"DECRETO 61/1991, 23 de julio",DOE: 30-07-1991,,,
,(R.I.) - 51 – 0000299 - 00000,ALCÁNTARA,CÁCERES,Puente romano con arco triunfal,,166357,4404192,Monumento,,,GACETA DE MADRID: 18-08-1924,,
2743,(R.I.) - 51 - 0000131 - 00000,ALCÁNTARA,CÁCERES,Convento de San Benito,"Plaza San Benito, 1 CP. 10980",167008,4403972,Monumento,,,GACETA DE MADRID: 25-03-1924,,
7777,R-I-51-00005011,ALCÁNTARA,CÁCERES,Iglesia de Santa María de Almocóvar,"Plaza de España, 15 CP. 10980",166773,4403968,Monumento,"REAL DECRETO 754/1987, de 8 mayo",,BOE: 19-06-1987,,
30322,,ALCÁNTARA,CÁCERES,Sitio Histórico,"Plaza de España, 1 CP. 10980",166874,4403821,Sitio Histórico,"DECRETO 147/2022, de 7 diciembre",DOE 13-12-2022,BOE: 06-03-2023,,
